StateAbbv,StateName,P1_StatePlan,P2_Standards,P3_Funding,P4_Certification,P5_PreserviceIncentives,P6_StateCSposition,P7_RequireHStoOffer,P8_CountGradReq,P9_HigherEdAdmission,PctReportedFCS,YearOfLast,NumOfHS,NumHSWithCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Total_Black,Total_HLLL,Total_Native,Total_HPI,Total_White,Total_Asian,Total_TwoPlus,InCSHS_Black,InCSHS_HLLL,InCSHS_Native,InCSHS_HPI,InCSHS_White,InCSHS_Asian,InCSHS_TwoPlus,InFCS_Male,InFCS_Female,InFCS_Other,InFCS_Black,InFCS_HLLL,InFCS_Native,InFCS_HPI,InFCS_White,InFCS_Asian,InFCS_TwoPlus,InFCS_Total,AP_Male,AP_Female,AP_Gender,AP_Black,AP_HLLL,AP_Native,AP_HPI,AP_Asian,AP_White,AP_TwoPlus,AP_Total,,
OR,Oregon,No,No,No,No,No,No,No,District Decision,No,0.55,21,341,189,0.554252199,196708,160350,0.815169408,4048,43486,2839,1380,124743,7847,12077,3566,35906,1593,1241,101017,7118,9909,4051,1250,2,78,1182,60,37,3262,351,333,5303,671,225,3,13,85,3,3,187,534,75,899,,
PA,Pennsylvania,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0.63,20,794,504,0.634760705,624014,506689,0.811983654,92446,73912,1038,541,409196,25169,21712,61837,59056,839,431,344993,22146,17387,,,,,,,,,,,,4505,1702,4,286,357,37,3,1283,3976,270,6211,,
RI,Rhode Island,Yes,Yes,Yes,Yes,No,Yes,Other,Yes,No,0.86,21,63,54,0.857142857,44343,42454,0.957401051,3999,11871,350,73,25132,1302,1616,3644,10861,334,70,24722,1275,1548,,,,,,,,,,,,511,226,2,35,64,1,1,94,517,27,739,,
SC,South Carolina,Soon in progress,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0.92,21,306,282,0.921568627,241394,237133,0.982346775,76051,23887,819,341,126966,4189,9140,74256,23651,805,333,124947,4134,9007,27015,22871,,17892,5348,1818,295,31138,1406,0,49886,1393,731,6,190,168,17,2,211,1416,125,2130,,
SD,South Dakota,No,No,No,Yes,No,No,No,Yes,No,0.4,21,210,83,0.395238095,43793,29332,0.669779595,1220,2421,8379,46,29643,710,1374,1116,1848,3966,32,20768,508,1094,,,,,,,,,,,,42,7,1,1,5,1,0,7,35,1,50,,
TN,Tennessee,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,0.54,21,423,230,0.543735225,312860,222053,0.709753336,66595,32999,540,336,198156,6397,7837,44119,23895,394,285,141959,5241,6161,10802,4717,,3924,1666,212,49,11028,892,2149,15519,1266,626,5,264,173,16,1,316,1031,96,1897,,
TX,Texas,In progress,Soon in progress,Yes,Yes,Yes,No,Yes,Yes,Yes,0.49,20,2066,1021,0.494191675,1714001,1339124,0.781285535,211916,889858,5938,2605,487573,78607,37504,170232,677093,4635,2278,382306,72224,30356,47621,17366,,5627,26206,183,91,19559,11536,1785,64987,10266,4217,22,583,4048,75,15,4531,4626,625,14505,,
UT,Utah,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0.74,21,333,248,0.744744745,287198,257579,0.896869543,3933,48871,2671,4244,214449,4913,8100,3436,44385,2396,3786,191825,4527,7225,17587,9271,,416,5017,282,456,19207,701,788,26858,485,156,1,7,52,3,2,77,454,46,642,,
VA,Virginia,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.73,20,348,255,0.732758621,403527,347175,0.860351774,86422,65039,1045,669,199248,30240,20864,67824,58639,885,605,172389,28401,18431,11570,3921,,2170,1749,32,16,7468,3169,887,15491,4001,1661,12,370,461,18,3,1931,2512,378,5674,,
VT,Vermont,No,No,No,Yes,Yes,No,No,District Decision,No,0.64,21,70,45,0.642857143,26554,18754,0.706254319,626,595,109,35,23884,631,674,529,421,58,23,16738,549,436,,,,,,,,,,,,128,29,0,1,5,0,0,32,113,5,157,,
WA,Washington,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.49,20,811,396,0.488286067,372859,320233,0.858858808,16492,83809,5979,4203,203943,29571,28289,14181,70089,3214,3740,176839,27714,24456,11064,3831,150,610,2354,86,93,7547,3162,1136,15045,2965,1265,6,80,321,20,12,1625,1848,330,4236,,
WI,Wisconsin,In progress,Yes,No,Yes,Yes,No,Other,Yes,No,0.62,21,638,396,0.620689655,279601,240396,0.859782734,26736,31830,3830,196,195840,11744,9423,17384,26549,3005,176,174258,10868,8156,9979,2932,,1066,1410,162,,9126,729,418,12911,1613,438,9,30,123,12,1,236,1570,88,2060,,
WV,West Virginia,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,0.76,21,130,99,0.761538462,79972,69736,0.872005721,3505,1519,79,43,72272,580,1974,3315,1429,72,42,62472,555,1851,1970,828,,82,63,0,0,2507,59,79,2798,260,145,0,7,14,3,0,35,329,16,405,,
WY,Wyoming,Yes,Yes,Other,Yes,No,Yes,Yes,Yes,Yes,0.5,21,105,52,0.495238095,30254,22017,0.727737945,289,4204,1362,47,23346,274,732,232,3319,626,34,17017,215,574,1323,515,,15,240,119,1,1388,22,53,1838,62,35,1,0,4,2,0,8,80,4,98,,
